row;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;Wifi;AC;Beachfront;Garden;Ocean View;Netflix;Pet Friendly;Balcony;Parking;Terrace;Swimming Pool;Mountain View;TV;Lake View;Gym;Breakfast Included;Patio
4931;2 bedroom Oaks resort apartment;93932788;Jennifer;Western Australia;BROOME;-17.92765;122.21536;Entire home/apt;500;5;26;2023-07-18;0.72;1;288;3;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0
4932;Home away from home;323450302;Liza;Western Australia;GOSNELLS;-32.07251;115.93705;Private room;64;2;38;2024-02-21;1.06;2;162;14;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1
4933;Rustic Retreat  Marian Ponds;177130191;Marita;Western Australia;DONNYBROOK-BALINGUP;-33.77153015136719;115.98338317871094;Entire home/apt;231;2;36;2024-06-02;1.04;2;256;9;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0
4934;Voyagers Return feel at home living adventurously;157442856;Lizzie;Western Australia;BUSSELTON;-33.60895;115.10581;Entire home/apt;229;2;51;2024-05-30;1.44;21;72;10;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
4935;ABSOLUTE OCEAN FRONT 3 BEDROOM APARTMENT;64378011;Mark;Western Australia;BUSSELTON;-33.65915;115.26814;Entire home/apt;189;2;107;2024-06-23;2.88;1;256;33;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0
4936;old home good feel ideal location beachside;404243786;Tracey;Western Australia;COTTESLOE;-32.00214;115.75815;Private room;80;30;28;2024-04-26;0.81;2;53;7;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0
4937;Apartment M307  eclectic icon with spectacular vi;41427260;Observation Rise;Western Australia;STIRLING;-31.895504;115.757767;Entire home/apt;456;5;25;2024-03-19;0.75;12;223;5;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1
4938;The Happy House ExmouthNingaloo;39586002;Romola;Western Australia;EXMOUTH;-21.93707;114.12272;Entire home/apt;393;6;1;2024-01-03;0.17;1;79;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1
4939;Sixteen at Cape View Escapes;153678208;Geographe Holiday Homes;Western Australia;BUSSELTON;-33.657106383811985;115.26823687487204;Entire home/apt;141;1;2;2023-01-13;0.07;100;202;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0
4940;Urambi Cottage the Gateway to the Ferguson Valley;22901033;Keryl;Western Australia;HARVEY;-33.25614;115.84412;Entire home/apt;140;2;81;2024-06-17;2.93;1;176;37;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0
4941;MARIAS HOME 99 STR;215121447;Mioara;Western Australia;MANDURAH;-32.5241;115.7307;Entire home/apt;175;2;61;2024-05-25;1.69;1;309;22;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1
4942;Peppermint Beach house  a quiet beach retreat;395589372;Elsa;Western Australia;ALBANY;-35.00545;117.92986;Entire home/apt;320;2;75;2024-05-19;2.25;1;324;29;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0
4943;Gecko Retreat  Cape View;153678208;Geographe Holiday Homes;Western Australia;BUSSELTON;-33.65706442088262;115.26785988451918;Entire home/apt;195;1;18;2024-01-22;0.51;100;249;3;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0
4944;Lil thin nestled in the green;33542221;Mattia;Western Australia;COCKBURN;-32.09261;115.79201;Entire home/apt;83;3;76;2024-06-14;2.04;1;79;30;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0
4945;KOJONUP House  Short Term Accom Family  Group;404798418;Lisa;Western Australia;KOJONUP;-33.83213;117.16679;Entire home/apt;130;2;44;2024-06-02;1.21;2;86;21;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1
4946;Villa on the Cape;111898575;Michael;Western Australia;BUSSELTON;-33.61886;115.09188;Entire home/apt;229;2;8;2024-03-17;0.3;60;301;7;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0
4947;Richmond Quarter  Studio  Accessible Room;396566314;Ben Hayley Napakorn;Western Australia;EAST FREMANTLE;-32.04165;115.76381;Entire home/apt;215;2;4;2023-11-22;0.22;12;127;3;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1
4948;Richmond Quarter  1 Bedroom Apartment;396566314;Ben Hayley Napakorn;Western Australia;EAST FREMANTLE;-32.04217;115.76425;Entire home/apt;259;1;9;2024-02-04;0.32;12;153;5;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1
4949;The Green Welly Farm stay;405005157;Sarah;Western Australia;BRIDGETOWN-GREENBUSHES;-33.94564;116.13663;Entire home/apt;350;2;121;2024-06-21;3.36;1;264;36;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1
4950;Darlington WA Special escape Perth Hills House;101660473;Jo;Western Australia;MUNDARING;-31.92201;116.0858;Entire home/apt;650;3;5;2024-04-15;0.33;5;181;3;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1
4951;Florence seaside retreat  home near the beach;405064292;Jonathon;Western Australia;ROCKINGHAM;-32.28081;115.72738;Entire home/apt;243;3;32;2024-04-13;0.89;1;38;11;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1
4952;Jacaranda Lane;26980735;Jarrod;Western Australia;AUGUSTA-MARGARET RIVER;-33.952862;115.074692;Entire home/apt;322;3;22;2024-06-17;0.6;17;260;6;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1
4953;Peaceful 2 BR residential house in West Lamington;99181241;Sid;Western Australia;KALGOORLIE-BOULDER;-30.75129;121.45622;Entire home/apt;127;1;109;2024-06-22;3.1;2;134;25;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0
4954;The Glasshouse;7733964;Lisa;Western Australia;BUSSELTON;-33.60298;115.08893;Entire home/apt;834;3;30;2024-04-10;0.88;10;73;5;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0
4955;Freo BnB Hilton;347501703;Robbie;Western Australia;FREMANTLE;-32.06669;115.79156;Entire home/apt;110;2;38;2024-06-18;1.07;1;82;6;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0
4956;Manna House 6 bed right on the river Own Jetty;76063658;Sheila;Western Australia;MURRAY;-32.58409;115.83557;Entire home/apt;843;2;113;2024-04-21;3.09;1;132;30;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0
4957;The Tin Shack;83250425;Evelyn;Western Australia;BRIDGETOWN-GREENBUSHES;-33.970145996076226;116.31112622445518;Entire home/apt;175;1;80;2024-06-03;2.23;1;162;17;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0
4958;Spinaway Pruners Cottage;348341503;Jan;Western Australia;BUSSELTON;-33.802826;115.208061;Entire home/apt;175;2;82;2024-06-16;2.45;1;80;21;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0
4959;Seashell Cottage  Unit 47 At Cape View Resort;40750914;DownSouth;Western Australia;BUSSELTON;-33.65726;115.26666;Entire home/apt;322;2;41;2024-04-01;1.12;59;337;13;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0
4960;Denmark Harewood Hideaway Cottage 15mins from town;388104525;Jo;Western Australia;DENMARK;-34.90231;117.24105;Entire home/apt;267;2;116;2024-06-23;3.18;3;223;37;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0
4961;Unique North Perth Villa with 2 Private Courtyards;405929154;Kevin;Western Australia;VINCENT;-31.926023;115.850487;Entire home/apt;136;7;80;2024-06-03;2.29;1;54;26;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0
4962;Cosy luxe private gourmet farmstay campfire;20006640;Kellie;Western Australia;AUGUSTA-MARGARET RIVER;-33.99165725708008;115.08098602294922;Entire home/apt;475;2;125;2024-06-23;3.38;1;238;46;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1
4963;The Most Peaceful Room in Success;393919387;Jorge;Western Australia;COCKBURN;-32.13722;115.8514;Private room;85;3;17;2024-02-20;0.83;2;81;5;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
4964;The Dunsborough Studio a hidden gem right in town;186171914;Alexia;Western Australia;BUSSELTON;-33.6168;115.10718;Entire home/apt;151;3;180;2024-06-03;4.93;1;62;47;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0
4965;Glamping Tents Located on Buckland Estate;182548612;Russell;Western Australia;NORTHAM;-31.56455;116.62005;Private room;185;1;118;2024-06-17;3.26;4;62;40;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0
4966;Apartment 28;173937355;Gemma;Western Australia;ALBANY;-35.01239;117.87264;Entire home/apt;127;1;251;2024-06-11;7.04;3;4;76;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0
4967;TwoBedroom Chalet with Private JettyHERON;8516109;Laura;Western Australia;NANNUP;-34.33162;115.76962;Private room;346;2;4;2024-03-01;0.21;6;240;3;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
4968;Delux chalet with private jettyTeal;8516109;Laura;Western Australia;NANNUP;-34.354778;115.753632;Entire home/apt;299;2;26;2024-06-18;0.73;6;228;9;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0
4969;Cosy Beach House with Fireplace;366160346;Anne;Western Australia;BUSSELTON;-33.62296;115.12001;Entire home/apt;147;2;136;2024-06-23;3.77;1;78;52;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0
4970;TwoBedroom Chalet with SpaIBIS;8516109;Laura;Western Australia;NANNUP;-34.3552;115.75664;Entire home/apt;345;2;2;2024-04-18;0.29;6;226;2;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1
4971;20CapeView Geographe bay;34983497;South West Holiday Properties;Western Australia;BUSSELTON;-33.65853;115.26859;Entire home/apt;194;2;24;2024-06-03;0.66;31;320;6;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0
4972;68CapeView Geographe bay;34983497;South West Holiday Properties;Western Australia;BUSSELTON;-33.65724;115.26827;Entire home/apt;220;2;34;2024-04-13;0.95;31;285;7;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0
4973;Queen of Shiba Lane Apartment;12269875;Trish;Western Australia;BROOME;-17.95564;122.24435;Entire home/apt;380;3;25;2023-09-29;0.72;5;87;6;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1
4974;Paradiso of Broome 3 bedroom;166497227;John;Western Australia;BROOME;-17.97354;122.22957;Entire home/apt;721;3;5;2023-08-14;0.14;3;166;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0
4975;Stirling Estate Chalets Eco farm stay;406967718;Greg;Western Australia;CAPEL;-33.5232;115.53841;Entire home/apt;807;1;21;2022-10-09;0.58;2;176;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0
4976;The Beach Haze  location location location;129118270;Becci;Western Australia;GINGIN;-31.01233;115.32926;Entire home/apt;145;2;73;2024-04-30;2.09;1;170;26;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0
4977;Lakeside Chalet;8516109;Laura;Western Australia;NANNUP;-34.330479;115.77047;Private room;443;2;13;2024-01-21;0.62;6;266;8;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
4978;Perfect One Bed Home in Perth;106486177;Phoebe;Western Australia;VINCENT;-31.94539;115.87588;Entire home/apt;117;3;55;2024-06-11;1.54;101;84;25;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0
4979;The Beach Shack  OCEAN VIEWS CLOSE TO THE BEACH;130062770;Sunset Coast Beach Houses;Western Australia;GINGIN;-31.34515;115.498;Entire home/apt;345;2;6;2022-11-06;0.16;6;355;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1
4980;Wallaby  Pet friendly 3 bedroom house;11168796;Helen;Western Australia;EXMOUTH;-21.923907376273476;114.11763178709865;Entire home/apt;249;3;19;2024-06-02;0.52;30;297;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
4981;At The Beach Your Ultimate Coastal Getaway;40750914;DownSouth;Western Australia;BUSSELTON;-33.64662;115.35653;Entire home/apt;359;2;51;2024-04-02;1.4;59;326;12;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0
4982;Renovated Barn  Idlewild Bridgetown;194421955;Gill;Western Australia;BRIDGETOWN-GREENBUSHES;-33.97089;116.16134;Entire home/apt;435;2;57;2024-06-09;1.67;2;286;14;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0
4983;The Little Blue Door  Apartment 1;55410179;Let Go;Western Australia;STIRLING;-31.89277;115.75901;Entire home/apt;119;2;70;2024-06-06;1.91;98;139;21;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0
4984;Fig Tree escape The perfect Fremantle get away;407254966;Dianne;Western Australia;FREMANTLE;-32.0582;115.75552;Entire home/apt;116;2;215;2024-06-06;5.97;1;104;69;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0
4985;The Pearlers Bungalow;23597068;Sue;Western Australia;BROOME;-17.96075;122.23583;Entire home/apt;250;2;89;2024-06-24;2.42;2;97;36;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0
4986;The Little Blue Door  Apartment 2;55410179;Let Go;Western Australia;STIRLING;-31.89182;115.75866;Entire home/apt;99;2;79;2024-06-14;2.2;98;139;27;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0
4987;TwoBedroom Chalet with Private Patio Kingfisher;8516109;Laura;Western Australia;NANNUP;-34.35388;115.75255;Entire home/apt;200;2;24;2024-06-09;0.73;6;185;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4988;Allure;511967;Hometime Group;Western Australia;BUSSELTON;-33.612694;115.108772;Entire home/apt;680;1;9;2024-04-22;0.27;126;284;4;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0
4989;Yallingup Lagoon Beach House;511967;Hometime Group;Western Australia;BUSSELTON;-33.639038;115.026749;Entire home/apt;588;1;18;2024-04-21;0.57;126;312;5;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0
4990;Boutique Beach House Walk to beach cafes shops;44227450;Andy & Shireen;Western Australia;JOONDALUP;-31.78041;115.74409;Entire home/apt;280;2;60;2024-06-15;1.64;1;194;11;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0
4991;Spacious family friendly oasiswalk to Cable Beach;117919726;Renae;Western Australia;BROOME;-17.93198;122.21809;Entire home/apt;520;3;50;2024-06-19;1.54;1;255;32;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0
4992;Cosy Sunrise Estate Pets OK  Executive Escapes;34477031;Executive Escapes;Western Australia;KWINANA;-32.26182;115.85521;Entire home/apt;180;1;27;2024-06-18;0.96;56;235;9;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1
4993;Poolside Studio Suite;55457212;Ken;Western Australia;VINCENT;-31.94008;115.87384;Private room;211;3;6;2024-04-21;0.22;4;311;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1
4994;Meelup Bay Room  1  Observatory Guesthouse;407627762;Observatory;Western Australia;BUSSELTON;-33.646381;115.348694;Private room;178;1;28;2024-02-10;0.78;7;251;9;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
4995;Eagle Bay Room  2  Observatory Guesthouse;407627762;Observatory;Western Australia;BUSSELTON;-33.646381;115.348694;Private room;184;1;25;2024-04-28;0.7;7;279;12;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0
4996;Geographe Bay Room  3  Observatory Guesthouse;407627762;Observatory;Western Australia;BUSSELTON;-33.646381;115.348694;Private room;182;1;21;2024-04-12;0.58;7;317;2;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0
4997;Hamelin Bay Room  4  Observatory Guesthouse;407627762;Observatory;Western Australia;BUSSELTON;-33.646381;115.348694;Private room;181;1;19;2024-04-21;0.53;7;268;2;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1
4998;Busselton Hithergreen;511967;Hometime Group;Western Australia;BUSSELTON;-33.619398475476515;115.488293144458;Entire home/apt;693;1;16;2024-01-07;0.5;126;328;4;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1
4999;Katrine Steadings GateHouse Built circa 1840;31696678;Wayne And Jeni;Western Australia;NORTHAM;-31.61579;116.55983;Entire home/apt;259;1;96;2024-06-03;2.66;10;339;19;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0
5000;Katrine Steadings The Inn 1 queen bed bungalow;31696678;Wayne And Jeni;Western Australia;NORTHAM;-31.61601;116.5599;Entire home/apt;231;1;84;2024-04-28;2.3;10;349;13;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0
5001;Micks Pad;77800063;Claire;Western Australia;JERRAMUNGUP;-34.39546;119.37982;Entire home/apt;170;2;12;2024-04-15;0.33;12;285;6;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0
5002;The Sawmillers Rest;53653731;Hannah;Western Australia;AUGUSTA-MARGARET RIVER;-34.33427;115.16757;Entire home/apt;231;2;37;2024-05-05;1.21;1;324;10;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1
5003;Familyfriendly holiday house in perfect location;389049572;Simone;Western Australia;MANDURAH;-32.54435;115.72798;Entire home/apt;196;3;37;2024-01-29;1.02;1;51;7;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1
5004;Lakeside Retreat     Pool  Breakfast Guesthouse;192374836;Langlang;Western Australia;JOONDALUP;-31.72889;115.76672;Entire home/apt;359;1;127;2024-06-22;3.51;1;284;27;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0
5005;Seventy at Cape View Resort;153678208;Geographe Holiday Homes;Western Australia;BUSSELTON;-33.6583899979972;115.26843573805851;Entire home/apt;170;1;13;2023-12-08;0.36;100;200;2;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1
5006;Apartment M305  a popular beachside apartment;41427260;Observation Rise;Western Australia;STIRLING;-31.89287;115.75681;Entire home/apt;418;5;14;2024-06-07;0.42;12;148;3;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0
5007;Pearlers lodge;43386878;Novak;Western Australia;BROOME;-17.96233;122.22933;Entire home/apt;331;1;53;2024-06-15;1.48;2;84;14;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0
5008;Canal Views  gorgeous Mandurah holiday home;408071751;Kirsty & Rob;Western Australia;MANDURAH;-32.54086;115.71303;Entire home/apt;350;5;20;2024-01-28;0.56;2;335;3;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1
5009;River house in city with free parking;128314079;Julia;Western Australia;SOUTH PERTH;-31.97156;115.87442;Private room;99;1;12;2022-05-19;0.33;5;284;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
5010;Stylish Coastal Retreat  Cottesloe Beachside;53684569;Sophie;Western Australia;COTTESLOE;-31.993212;115.753571;Entire home/apt;240;3;95;2024-05-17;3.08;1;159;39;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0
5011;Vasse NewYorker Townhouse;153678208;Geographe Holiday Homes;Western Australia;BUSSELTON;-33.67364817036496;115.24339005262492;Entire home/apt;139;1;39;2024-06-01;1.08;100;273;8;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1
5012;Cosy 4 bedroom shouse in tranquil rural setting;5917202;Deb;Western Australia;AUGUSTA-MARGARET RIVER;-33.91049;115.11291;Entire home/apt;344;2;49;2023-05-07;1.35;1;345;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0
5013;Renovated house on 50 acres 15 mins from Denmark;388104525;Jo;Western Australia;DENMARK;-34.90268;117.24181;Entire home/apt;421;3;6;2024-04-08;0.28;3;167;3;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0
5014;Applecross River Retreat;165447581;Colin;Western Australia;MELVILLE;-32.01542;115.83289;Entire home/apt;300;60;18;2024-04-07;0.49;1;148;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0
5015;Nanga Mai;511967;Hometime Group;Western Australia;BUSSELTON;-33.652981;115.052513;Entire home/apt;919;1;33;2024-05-13;0.93;126;286;6;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0
5016;Studio 66 Busselton;153678208;Geographe Holiday Homes;Western Australia;BUSSELTON;-33.647729410026805;115.34887579019328;Entire home/apt;94;1;25;2024-05-24;0.7;100;272;10;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0
5017;Margaret River Escape  walk to town or forest;54554968;Arthur;Western Australia;AUGUSTA-MARGARET RIVER;-33.9465916541992;115.0755887373013;Entire home/apt;148;2;120;2024-06-19;3.33;3;213;49;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1
5018;Duke Street Hideaway;15360130;Davinia;Western Australia;BUSSELTON;-33.64756;115.3543;Entire home/apt;228;2;58;2024-06-04;1.62;89;240;19;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0
5019;Salt  Ideally located 3 Bedroom Villa;11168796;Helen;Western Australia;EXMOUTH;-21.92918509983372;114.12648842327336;Entire home/apt;380;3;12;2024-01-03;0.34;30;304;1;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0
5020;Birdwood Retreat Light  Airy 2BR Suite;23436279;Jodie;Western Australia;MELVILLE;-32.03346;115.77976;Entire home/apt;154;2;175;2024-06-08;4.93;1;194;56;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0
5021;Centrally located riverside apartment  WIFI;2964721;Richard;Western Australia;VICTORIA PARK;-31.9718;115.88398;Entire home/apt;148;1;280;2024-06-20;7.66;1;28;79;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5022;Area Exclusive Use;88417514;Allison And Carl;Western Australia;KALGOORLIE-BOULDER;-30.74658;121.46759;Entire home/apt;390;2;20;2024-06-17;0.58;4;257;4;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1
5023;King BR mid City  Hill near Airport Swan River;36583293;Cher;Western Australia;BASSENDEAN;-31.88878;115.94968;Private room;74;3;40;2024-06-24;1.09;5;365;14;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0
5024;Absolute Waterfront Cape View  3BR2BA for 8;40750914;DownSouth;Western Australia;BUSSELTON;-33.65683;115.26641;Entire home/apt;386;2;25;2024-03-14;0.73;59;268;5;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0
5025;Peppy Beach Shack  100m from beach  pet friendly;409342664;Megan;Western Australia;BUSSELTON;-33.62008;115.11379;Entire home/apt;237;2;95;2024-06-04;2.64;1;260;29;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5026;Coastal charm with all the creature comforts;26467595;Richard;Western Australia;JOONDALUP;-31.76727;115.74576;Entire home/apt;135;1;115;2024-06-25;3.86;1;26;41;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1
5027;Luxury Suite close to Scarborough Beach  City;127593274;Les & Lana;Western Australia;STIRLING;-31.9005;115.78433;Entire home/apt;143;2;139;2024-06-19;3.87;2;299;49;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1
5028;Cosy Corner Kookaburra  I  Unlimited Fast Internet;100820345;Martin;Western Australia;ALBANY;-35.05808;117.63401;Entire home/apt;251;3;156;2024-06-23;4.34;38;202;39;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0
5029;WOW Absolute beachfront 5bedroom house with pool;156997658;Paul & Joy;Western Australia;GREATER GERALDTON;-28.98194;114.7508;Entire home/apt;315;3;106;2024-06-04;3.54;1;138;24;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5030;Spacious freestanding rear 2 bedroom cottage;409783340;Diane;Western Australia;MELVILLE;-32.03854;115.85504;Entire home/apt;204;3;59;2024-05-18;1.68;1;267;20;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
5031;DoubleviewScarborough Suite With the Views;127593274;Les & Lana;Western Australia;STIRLING;-31.90278;115.78603;Entire home/apt;131;2;103;2024-06-03;2.85;2;335;30;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0
5032;The Grange on Kalgan Farm Stay Albany WA;261744013;Wayne;Western Australia;ALBANY;-34.90898;117.99049;Private room;215;3;1;2021-10-18;0.03;4;269;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
5033;EcoLuxe Dunsborough 1BR central to town  nature;53992870;Lisa;Western Australia;BUSSELTON;-33.62465;115.09932;Entire home/apt;244;2;69;2024-06-03;2.22;7;162;22;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
5034;Apartment  Observatory Guesthouse Adults Only;407627762;Observatory;Western Australia;BUSSELTON;-33.64728;115.34889;Entire home/apt;193;2;34;2023-10-10;1.03;7;31;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0
5035;Fleets Escape  Margaret River Wine Region;23324262;Anna;Western Australia;BUSSELTON;-33.79432;115.01699;Entire home/apt;1380;3;39;2024-06-11;1.23;1;249;14;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;1
5036;Cottage Retreat on Adelaide in the heart of Busso;198301375;Patricia;Western Australia;BUSSELTON;-33.64612;115.3562;Entire home/apt;295;2;50;2024-04-03;1.38;1;24;11;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0
5037;Luxury Country Escape;24387619;Elizabeth;Western Australia;BUSSELTON;-33.67971;115.043;Entire home/apt;380;50;65;2024-05-26;1.87;2;137;17;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0
5038;Beachside bushland retreat;410732092;Rob;Western Australia;DENMARK;-35.01783;117.32318;Entire home/apt;200;3;125;2024-06-03;3.54;1;288;36;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0
5039;Back Beach Breakers;410736526;Garth;Western Australia;GINGIN;-31.02403;115.33468;Entire home/apt;204;2;21;2022-12-30;0.61;1;145;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0
5040;SGot Everything Walk to Beach Quiet CulDeSac;410790858;Daniella;Western Australia;HARVEY;-33.1426;115.68959;Entire home/apt;300;7;16;2024-04-05;0.49;1;172;3;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
5041;The Djiti Djiti Cottage at Gnarawary Lodge;410905094;Christine;Western Australia;AUGUSTA-MARGARET RIVER;-33.98942;115.07723;Entire home/apt;181;2;126;2024-06-03;4.06;2;268;57;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0
5042;Goldfields Retreat Pet friendly Modern Spacious;366211993;Alana;Western Australia;ESPERANCE;-33.829086;121.915764;Entire home/apt;250;3;70;2024-06-03;3.4;1;106;41;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5043;InnerPerth 2BR alfresco aptNear CityStadium DFO;229560628;Anastasia;Western Australia;BELMONT;-31.96775;115.91809;Entire home/apt;189;9;16;2024-06-15;0.47;1;153;8;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0
5044;Maambakoort  WA Coastal Oasis;50553993;Stacey;Western Australia;BUSSELTON;-33.65814427117427;115.30797295560428;Entire home/apt;426;2;16;2024-06-08;2.24;1;132;16;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0
